cpg_id,beta_value
cg16620537,0.1
cg16620608,0.64
cg16620731,0.07
cg16620766,0.96
cg16620809,0.85
cg16621196,0.96
cg16621560,0.68
cg16621633,0.61
cg16621691,0.07
cg16621790,0.11
cg16621833,0.21
cg16621855,0.67
cg16621987,0.13
cg16622000,0.07
cg16622353,0.82
cg16622403,0.56
cg16622494,0.01
cg16622495,0.01
cg16622514,0.95
cg16622517,0.72
cg16622520,0.87
cg16622613,0.7
cg16622651,0.7
cg16622875,0.86
cg16622899,0.99
cg16622920,0.27
cg16622950,0.01
cg16623098,0.89
cg16623111,0.9
cg16623153,0.91
cg16623157,0.95
cg16623362,0.8
cg16623656,0.05
cg16623710,0.18
cg16623734,0.99
cg16623755,0.07
cg16624069,0.85
cg16624076,0.02
cg16624124,0.89
cg16624187,0.03
cg16624210,0.24
cg16624272,0.04
cg16624284,0.9
cg16624304,0.97
cg16624333,0.88
cg16624367,0.94
cg16624405,0.94
cg16624482,0.46
cg16624692,0.01
cg16624788,0.94
cg16624888,0.53
cg16624984,0.79
cg16624994,0.89
cg16625000,0.03
cg16625004,0.46
cg16625109,0.12
cg16625119,0.84
cg16625170,0.01
cg16625216,0.06
cg16625218,0.69
cg16625230,0.94
cg16625402,0.98
cg16625524,0.89
cg16625671,0.89
cg16625770,0.2
cg16625916,0.99
cg16626063,0.68
cg16626067,0.01
cg16626236,0.09
cg16626280,0.01
cg16626314,0.86
cg16626318,0.92
cg16626322,0.78
cg16626327,0.01
cg16626387,0.07
cg16626405,0.13
cg16626420,0.8
cg16626480,0.51
cg16626623,0.92
cg16626670,0.7
cg16626731,0.84
cg16626760,0.85
cg16626875,0.89
cg16626884,0.02
cg16626954,0.82
cg16627236,0.94
cg16627247,0.94
cg16627285,0.9
cg16627309,0.94
cg16627319,0.08
cg16627346,0.85
cg16627395,0.06
cg16627489,0.94
cg16627549,0.02
cg16627596,0.92
cg16627646,0.01
cg16627650,0.39
cg16627786,0.02
cg16627807,0.09
cg16627829,0.02
cg16627836,0.9
cg16627854,0.46
cg16627905,0.92
cg16628039,0.92
cg16628093,0.87
cg16628119,0.01
cg16628135,0.99
cg16628183,0.1
cg16628188,0.95
cg16628201,0.01
cg16628205,0.8
cg16628215,0.08
cg16628243,0.09
cg16628372,0.01
cg16628484,0.02
cg16628556,0.93
cg16628641,1.0
cg16628681,0.82
cg16628918,0.69
cg16629076,0.91
cg16629158,0.12
cg16629179,0.27
cg16629288,0.41
cg16629408,0.93
cg16629523,0.42
cg16629637,0.08
cg16629664,0.86
cg16629695,0.9
cg16629702,0.06
cg16629749,0.85
cg16629942,0.05
cg16630229,0.13
cg16630303,0.94
cg16630369,0.78
cg16630482,0.04
cg16630546,0.59
cg16630572,0.86
cg16630791,0.01
cg16630989,0.01
cg16631007,0.2
cg16631025,0.02
cg16631083,0.66
cg16631088,0.81
cg16631384,0.9
cg16631544,0.03
cg16631911,0.55
cg16632096,0.93
cg16632132,0.13
cg16632280,0.12
cg16632346,0.91
cg16632433,0.08
cg16632636,0.93
cg16632661,0.01
cg16632715,0.31
cg16632785,0.68
cg16632802,0.96
cg16632868,0.9
cg16632891,0.04
cg16632994,0.04
cg16633701,0.9
cg16633730,0.04
cg16633750,0.02
cg16633817,0.92
cg16633848,0.11
cg16633901,0.03
cg16633925,0.86
cg16633951,0.21
cg16634055,0.96
cg16634108,0.11
cg16634193,0.07
cg16634245,0.95
cg16634372,0.95
cg16634544,0.62
cg16634661,0.13
cg16634901,0.83
cg16634951,0.93
cg16634971,0.95
cg16635010,0.87
cg16635016,0.91
cg16635128,0.38
cg16635274,0.07
cg16635550,0.11
cg16635578,0.9
cg16635592,0.96
cg16635767,0.05
cg16635863,0.92
cg16635874,0.94
cg16635948,0.19
cg16636054,0.74
cg16636104,0.85
cg16636110,0.6
cg16636114,0.87
cg16636182,0.97
cg16636204,0.79
cg16636271,0.12
cg16636355,0.16
cg16636522,0.31
cg16636550,0.91
cg16636612,0.9
cg16636641,0.01
cg16636721,0.09
cg16636756,0.08
cg16636767,0.92
cg16637178,0.02
cg16637188,0.77
cg16637223,0.09
cg16637458,0.77
cg16637467,0.8
cg16637556,0.03
cg16637619,0.01
cg16637690,0.92
cg16637776,0.03
cg16637813,0.71
cg16637917,0.1
cg16637961,0.93
cg16638092,0.57
cg16638248,0.68
cg16638266,0.08
cg16638385,0.04
cg16638425,0.96
cg16638523,0.06
cg16638540,0.24
cg16638558,0.87
cg16638571,0.01
cg16638648,0.03
cg16638769,0.97
cg16638793,0.95
cg16638834,0.73
cg16638920,0.45
cg16638945,0.93
cg16639138,0.06
cg16639145,0.88
cg16639172,0.68
cg16639185,0.58
cg16639195,0.89
cg16639311,0.98
cg16639540,0.37
cg16639595,0.89
cg16639637,0.14
cg16639665,0.14
cg16639691,0.59
cg16639692,0.9
cg16639713,0.92
cg16639766,0.07
cg16639860,0.87
cg16639880,0.95
cg16639915,0.78
cg16639922,0.01
cg16639998,0.06
cg16640008,0.88
cg16640027,0.3
cg16640096,0.21
cg16640358,0.4
cg16640517,0.96
cg16640553,0.89
cg16640599,0.47
cg16640633,0.05
cg16640753,0.97
cg16640855,0.05
cg16640865,0.03
cg16640929,0.16
cg16640962,0.9
cg16640973,0.83
cg16641055,0.71
cg16641358,0.88
cg16641818,0.06
cg16641876,0.91
cg16641903,0.9
cg16641915,0.01
cg16642281,0.11
cg16642284,0.09
cg16642299,0.31
cg16642517,0.96
cg16642695,0.75
cg16642791,0.17
cg16642938,0.95
cg16643088,0.14
cg16643090,0.05
cg16643151,0.07
cg16643152,0.1
cg16643261,0.99
cg16643422,0.87
cg16643558,0.84
cg16643589,0.3
cg16643603,0.7
cg16643706,0.89
cg16643813,0.01
cg16643840,0.01
cg16643894,0.06
cg16644023,0.93
cg16644177,0.1
cg16644338,0.06
cg16644344,0.84
cg16644366,0.05
cg16644457,0.12
cg16644497,0.02
cg16644760,0.92
cg16644764,0.01
cg16644967,0.09
cg16645033,0.94
cg16645133,0.03
cg16645202,0.02
cg16645344,0.09
cg16645423,0.64
cg16645539,0.01
cg16645584,0.02
cg16645705,0.91
cg16645828,0.9
cg16645907,0.87
cg16645983,0.88
cg16646003,0.91
cg16646054,0.49
cg16646261,0.93
cg16646298,0.68
cg16646466,0.01
cg16646539,0.05
cg16646546,0.06
cg16646600,0.84
cg16646662,0.08
cg16646726,0.83
cg16646743,0.14
cg16646892,0.02
cg16646909,0.11
cg16647164,0.91
cg16647169,0.04
cg16647364,0.99
cg16647635,0.92
cg16647844,0.39
cg16648094,0.94
cg16648110,0.92
cg16648137,0.92
cg16648318,0.88
cg16648324,0.05
cg16648355,0.1
cg16648524,0.48
cg16648571,0.51
cg16648632,0.15
cg16648841,0.82
cg16648887,0.94
cg16649001,0.94
cg16649034,0.83
cg16649052,0.14
cg16649360,0.94
cg16649474,0.85
cg16649560,0.28
cg16649695,0.03
cg16649723,0.91
cg16649728,0.81
cg16649771,0.21
cg16649791,0.88
cg16649888,0.91
cg16649999,0.95
cg16650026,0.95
cg16650073,0.89
cg16650099,0.1
cg16650212,0.96
cg16650292,0.02
cg16650529,0.02
cg16650530,0.05
cg16650561,0.92
cg16650630,0.48
cg16650717,0.04
cg16650901,0.15
cg16651196,0.02
cg16651262,0.91
cg16651428,0.02
cg16651441,0.96
cg16651537,0.47
cg16651606,0.94
cg16651732,0.02
cg16651768,0.85
cg16651827,0.78
cg16651895,0.72
cg16651900,0.9
cg16651953,0.86
cg16652063,0.13
cg16652241,0.09
cg16652259,0.13
cg16652264,0.75
cg16652332,0.98
cg16652347,0.74
cg16652521,0.96
cg16652639,0.06
cg16652648,0.03
cg16652651,0.06
cg16652741,0.05
cg16652790,0.01
cg16652855,0.82
cg16652920,0.95
cg16652937,0.8
cg16653138,0.99
cg16653173,0.01
cg16653203,0.01
cg16653395,0.05
cg16653408,0.69
cg16653495,0.09
cg16653538,0.09
cg16653620,0.15
cg16653700,0.99
cg16653784,0.9
cg16653901,0.93
cg16654023,0.05
cg16654143,0.01
cg16654152,0.01
cg16654216,0.95
cg16654432,0.88
cg16654458,0.88
cg16654603,0.68
cg16654610,0.92
cg16654771,0.09
cg16654801,0.08
cg16654806,0.13
cg16655091,0.62
cg16655206,0.03
cg16655240,0.1
cg16655295,0.94
cg16655338,0.02
cg16655343,0.52
cg16655383,0.01
cg16655388,0.91
cg16655404,0.01
cg16655424,0.96
cg16655500,0.93
cg16655661,0.9
cg16655724,0.01
cg16655754,0.01
cg16655765,0.7
cg16655778,0.8
cg16655791,0.23
cg16655795,0.72
cg16655883,0.16
cg16655905,0.01
cg16656196,1.0
cg16656232,0.96
cg16656286,0.01
cg16656316,0.79
cg16656411,0.1
cg16656428,0.92
cg16656469,0.92
cg16656493,0.98
cg16656794,0.94
cg16656826,0.59
cg16656864,0.1
cg16656875,0.05
cg16656895,0.21
cg16656979,0.04
cg16657149,0.95
cg16657152,0.41
cg16657164,0.02
cg16657340,0.12
cg16657397,0.16
cg16657448,0.09
cg16657453,0.92
cg16657578,0.99
cg16657615,0.09
cg16657724,0.89
cg16657816,0.01
cg16657886,0.9
cg16657924,0.03
cg16657928,0.03
cg16658020,0.77
cg16658099,0.01
cg16658130,0.05
cg16658177,0.86
cg16658180,0.22
cg16658191,0.91
cg16658255,0.46
cg16658337,0.91
cg16658346,0.07
cg16658460,0.86
cg16658473,0.71
cg16658496,0.01
cg16658535,0.87
cg16658557,0.94
cg16658579,0.84
cg16658582,0.88
cg16658609,0.96
cg16658719,0.08
cg16658734,0.88
cg16658737,0.13
cg16658848,0.01
cg16658862,0.93
cg16658931,0.03
cg16659026,0.03
cg16659043,0.09
cg16659246,0.02
cg16659284,0.98
cg16659407,0.87
cg16659413,0.44
cg16659444,0.85
cg16659470,0.81
cg16659480,0.02
cg16659497,0.81
cg16659510,0.89
cg16659561,0.97
cg16659583,0.86
cg16659880,0.96
cg16659899,0.9
cg16659908,0.88
cg16660041,0.8
cg16660091,0.51
cg16660220,0.8
cg16660237,0.09
cg16660274,0.11
cg16660312,0.88
cg16660345,0.05
cg16660359,0.93
cg16660394,0.91
cg16660417,0.84
cg16660494,0.92
cg16660547,0.58
cg16660580,0.84
cg16660677,0.75
cg16660717,0.09
cg16660899,0.95
cg16661000,0.1
cg16661120,0.95
cg16661123,0.89
cg16661143,0.81
cg16661164,0.56
cg16661234,0.98
cg16661269,0.4
cg16661464,0.86
cg16661473,0.92
cg16661522,0.55
cg16661662,0.81
cg16661744,0.18
cg16661761,0.73
cg16661858,0.96
cg16662041,0.96
cg16662043,0.84
cg16662139,0.04
cg16662250,0.96
cg16662267,0.04
cg16662408,0.72
cg16662424,0.11
cg16662451,0.96
cg16662477,0.31
cg16662489,0.04
cg16662768,0.43
cg16662785,0.97
cg16662787,0.04
cg16662821,0.23
cg16662846,0.91
cg16662877,0.01
cg16662919,0.02
cg16662989,0.04
cg16663022,0.83
cg16663025,0.83
cg16663033,0.78
cg16663142,0.94
cg16663155,0.91
cg16663341,0.96
cg16663344,0.13
cg16663459,0.86
cg16663497,0.79
cg16663570,0.03
cg16663645,0.91
cg16663674,0.05
cg16663739,0.91
cg16663855,0.87
cg16663891,0.1
cg16663900,0.01
cg16663955,0.01
cg16663980,0.71
cg16664095,0.97
cg16664233,0.06
cg16664405,0.11
cg16664455,0.94
cg16664472,0.18
cg16664496,0.86
cg16664523,0.91
cg16664537,0.14
cg16664570,0.87
cg16664584,0.38
cg16664617,0.72
cg16664732,0.87
cg16664859,0.04
cg16665064,0.02
cg16665103,0.08
cg16665335,0.91
cg16665442,0.6
cg16665444,0.24
cg16665506,0.94
cg16665686,0.96
cg16665866,0.96
cg16666115,0.07
cg16666160,0.9
cg16666206,0.92
cg16666329,0.2
cg16666456,0.06
cg16666560,0.03
cg16666698,0.07
cg16666708,0.09
cg16666745,0.93
cg16666935,0.16
cg16666964,0.13
cg16667189,0.87
cg16667192,0.91
cg16667251,0.1
cg16667279,0.28
cg16667459,0.93
cg16667475,0.8
cg16667508,0.77
cg16667631,0.11
cg16667676,0.94
cg16667710,0.94
cg16667845,0.08
cg16668042,0.13
cg16668176,0.69
cg16668180,0.76
cg16668359,0.04
cg16668394,0.07
cg16668397,0.94
cg16668548,0.01
cg16668651,0.18
cg16668896,0.58
cg16668931,0.56
cg16669339,0.41
cg16669395,0.84
cg16669491,0.08
cg16669541,0.01
cg16669607,0.85
cg16669650,0.25
cg16669877,0.01
cg16670155,0.99
cg16670307,0.94
cg16670446,0.79
cg16670497,0.15
cg16670554,0.11
cg16670736,0.91
cg16670940,0.95
cg16671079,0.62
cg16671114,0.01
cg16671157,0.91
cg16671238,0.41
cg16671360,0.85
cg16671365,0.69
cg16671652,0.96
cg16671674,0.72
cg16671889,0.9
cg16671899,0.67
cg16672083,0.96
cg16672189,0.95
cg16672203,0.53
cg16672223,0.33
cg16672263,0.87
cg16672421,0.83
cg16672449,0.11
cg16672503,0.01
cg16672557,0.9
cg16672562,0.67
cg16672637,0.56
cg16672659,0.89
cg16672668,0.82
cg16672685,0.01
cg16672770,0.9
cg16672904,0.94
cg16672922,0.94
cg16672925,0.01
cg16672956,0.91
cg16673106,0.07
cg16673198,0.93
cg16673412,0.79
cg16673446,0.91
cg16673477,0.11
cg16673702,0.14
cg16673768,0.15
cg16673806,0.78
cg16673904,0.85
cg16673929,0.27
cg16674116,0.87
cg16674257,0.89
cg16674264,0.88
cg16674323,0.01
cg16674433,0.6
cg16674467,0.18
cg16674475,0.99
cg16674484,0.34
cg16674492,0.02
cg16674514,0.68
cg16674535,0.06
cg16674618,0.95
cg16675029,0.0
cg16675054,0.99
cg16675193,0.96
cg16675357,0.94
cg16675381,0.17
cg16675507,0.07
cg16675525,0.62
cg16675558,0.77
cg16675644,0.01
cg16675700,0.02
cg16675708,0.09
cg16675758,0.11
cg16676177,0.71
cg16676300,0.01
cg16676413,0.12
cg16676472,0.03
cg16676551,0.02
cg16676655,0.89
cg16676676,0.98
cg16676775,0.74
cg16676952,0.06
cg16677019,0.36
cg16677055,0.94
cg16677058,0.96
cg16677112,0.92
cg16677144,0.18
cg16677162,0.21
cg16677191,0.28
cg16677399,0.68
cg16677432,0.94
cg16677448,0.56
cg16677528,0.88
cg16677531,0.01
cg16677885,0.05
cg16677955,0.12
cg16677996,0.93
cg16678014,0.96
cg16678024,0.93
cg16678121,0.96
cg16678153,0.03
cg16678159,0.92
cg16678169,0.06
cg16678185,0.03
cg16678219,0.08
cg16678346,0.01
cg16678426,0.59
cg16678437,0.03
cg16678446,0.86
cg16678467,0.93
cg16678522,0.55
cg16678545,0.99
cg16678564,0.8
cg16678602,0.01
cg16678718,0.91
cg16678925,0.88
cg16679007,0.91
cg16679068,0.08
cg16679084,0.03
cg16679297,0.87
cg16679302,0.96
cg16679343,0.47
cg16679378,0.91
cg16679386,0.92
cg16679630,0.84
cg16679650,0.16
cg16679832,0.99
cg16680018,0.02
cg16680125,0.86
cg16680159,0.73
cg16680167,0.76
cg16680214,0.4
cg16680237,0.92
cg16680438,0.05
cg16680451,0.4
cg16680506,0.95
cg16680530,0.02
cg16680547,0.3
cg16680624,0.85
cg16680645,0.04
cg16680704,0.81
cg16680873,0.79
cg16681031,0.98
cg16681083,0.96
cg16681130,0.02
cg16681133,0.82
cg16681157,0.97
cg16681199,0.29
cg16681239,0.19
cg16681246,0.93
cg16681268,0.9
cg16681310,0.84
cg16681349,0.93
cg16681421,0.89
cg16681436,0.86
cg16681516,0.47
cg16681526,0.52
cg16681597,0.05
cg16681649,0.92
cg16681820,0.04
cg16681830,0.13
cg16681873,0.67
cg16682046,0.13
cg16682165,0.94
cg16682206,0.91
cg16682214,0.96
cg16682257,0.89
cg16682276,0.3
cg16682329,0.11
cg16682385,0.01
cg16682663,0.1
cg16682686,0.9
cg16682693,0.93
cg16682721,0.93
cg16682926,0.93
cg16682935,0.93
cg16682989,0.01
cg16683008,0.89
cg16683015,0.88
cg16683060,0.3
cg16683073,0.72
cg16683160,0.06
cg16683414,0.89
cg16683416,0.93
cg16683572,0.95
cg16683741,0.88
cg16683746,0.29
cg16683770,0.05
cg16683965,0.96
cg16684259,0.01
cg16684668,0.01
cg16684691,0.88
cg16684811,0.02
cg16684817,0.45
cg16684939,0.06
cg16685313,0.9
cg16685388,0.25
cg16685586,0.88
cg16685607,0.09
cg16685608,0.83
cg16685832,0.9
cg16685860,0.01
cg16685990,0.98
cg16686135,0.87
cg16686158,0.53
cg16686174,0.87
cg16686175,0.56
cg16686279,0.78
cg16686396,0.77
cg16686654,0.03
cg16686761,0.1
cg16686826,0.92
cg16686839,0.93
cg16687034,0.95
cg16687227,0.06
cg16687344,0.88
cg16687447,0.01
cg16687450,0.09
cg16687649,0.86
cg16687867,0.09
cg16688031,0.02
cg16688046,0.06
cg16688112,0.25
cg16688232,0.02
cg16688368,0.94
cg16688376,0.11
cg16688434,0.07
cg16688437,0.16
cg16688483,0.12
cg16688500,0.92
cg16688582,0.84
cg16688911,0.06
cg16688977,0.08
cg16688980,0.01
cg16689048,0.01
cg16689193,0.88
cg16689238,0.74
cg16689267,0.11
cg16689434,0.75
cg16689481,0.43
cg16689609,0.96
cg16689634,0.16
cg16689724,0.91
cg16689800,0.03
cg16689907,0.96
cg16689937,0.63
cg16689942,0.23
cg16689962,0.16
cg16690286,0.91
cg16690356,0.64
cg16690757,0.06
cg16690845,0.92
cg16690876,0.87
cg16690885,0.66
cg16691033,0.03
cg16691087,0.69
cg16691158,0.67
cg16691196,0.93
cg16691224,0.07
cg16691251,0.95
cg16691593,0.2
cg16691616,0.08
cg16691714,0.92
cg16691734,0.95
cg16691863,0.84
cg16691944,0.76
cg16691989,0.01
cg16692196,0.01
cg16692211,0.93
cg16692227,0.86
cg16692258,0.92
cg16692277,0.36
cg16692439,0.36
cg16692494,0.88
cg16692534,0.96
cg16692653,0.88
cg16692735,0.68
cg16692757,0.77
cg16692892,0.08
cg16692998,0.04
cg16693103,0.88
cg16693201,0.89
cg16693212,0.08
cg16693595,0.94
cg16693612,0.37
cg16693818,0.92
cg16693870,0.96
cg16693872,0.06
cg16693897,0.06
cg16694003,0.05
cg16694011,0.12
cg16694293,0.66
cg16694354,0.87
cg16694455,0.93
cg16694480,0.61
cg16694639,0.65
cg16694664,0.79
cg16694785,0.8
cg16695253,0.86
cg16695354,0.11
cg16695380,0.87
cg16695389,0.05
cg16695403,0.82
cg16695570,0.82
cg16695576,0.12
cg16695597,0.11
cg16695617,0.93
cg16695714,0.92
cg16695835,0.01
cg16695890,0.21
cg16696021,0.04
cg16696035,0.88
cg16696043,0.83
cg16696234,0.89
cg16696270,0.1
cg16696400,0.19
cg16696462,0.97
cg16696476,0.56
cg16696536,0.02
cg16696645,0.09
cg16696648,0.9
cg16696727,0.86
cg16696730,0.04
cg16696762,0.99
cg16696856,0.11
cg16697024,0.95
cg16697214,0.03
cg16697433,0.82
cg16697438,0.21
cg16697493,0.16
cg16697620,0.89
cg16697731,0.11
cg16697775,0.08
cg16697844,0.94
cg16697853,0.03
cg16697896,0.91
cg16697977,0.89
cg16697996,0.94
cg16698101,0.03
cg16698201,0.07
cg16698212,0.86
cg16698470,0.92
cg16698521,0.1
cg16698551,0.08
cg16698575,0.8
cg16698583,0.06
cg16698623,0.82
cg16698674,0.93
cg16698679,0.92
cg16698748,0.2
cg16698781,0.07
cg16698814,0.31
cg16698845,0.94
cg16698981,0.98
cg16699022,0.98
cg16699074,0.87
cg16699148,0.59
cg16699198,0.87
cg16699316,0.01
cg16699331,0.01
cg16699354,0.41
cg16699382,0.06
cg16699385,0.65
cg16699540,0.43
cg16699715,0.02
cg16699716,0.94
cg16699818,0.94
cg16699849,0.02
cg16699850,0.93
cg16699861,0.07
cg16700000,0.08
cg16700296,0.09
cg16700392,0.07
cg16700555,0.89
cg16700620,0.07
cg16700673,0.01
cg16700779,0.03
cg16700924,0.11
cg16700935,0.97
cg16701048,0.97
cg16701059,0.05
cg16701105,0.01
cg16701124,0.9
cg16701133,0.89
cg16701155,0.01
cg16701167,0.94
cg16701456,0.03
cg16701467,0.12
cg16701523,0.96
cg16701547,0.94
cg16701574,0.07
cg16701749,0.91
cg16701767,0.11
cg16701848,0.93
cg16701852,0.14
cg16701890,0.81
cg16701893,0.96
cg16701896,0.1
cg16701914,0.45
cg16701939,0.11
cg16702014,0.33
cg16702149,0.09
cg16702313,0.71
cg16702362,0.62
cg16702449,0.01
cg16702467,0.94
cg16702520,0.03
cg16702713,0.21
cg16702725,0.87
cg16702747,0.99
cg16702774,0.01
cg16702934,0.88
cg16703126,0.04
cg16703193,0.93
cg16703220,0.95
cg16703312,0.74
cg16703333,0.63
cg16703390,0.8
cg16703420,0.88
cg16703576,0.03
cg16703647,0.12
cg16703762,0.33
cg16703882,0.09
cg16703914,0.07
cg16703934,0.84
cg16703943,0.83
cg16704073,0.91
cg16704158,0.36
cg16704246,0.79
cg16704279,0.91
cg16704346,0.13
cg16704389,0.91
cg16704530,0.89
cg16704560,0.67
cg16704590,0.71
cg16704678,0.02
cg16704703,0.6
cg16704739,0.05
cg16704797,0.92
cg16704802,0.01
cg16704834,0.91
cg16704889,0.66
cg16704920,0.62
cg16704938,0.94
cg16704958,0.23
cg16705073,0.01
cg16705086,0.96
cg16705097,0.91
cg16705245,0.12
cg16705273,0.79
cg16705281,0.91
cg16705287,0.86
cg16705300,0.89
cg16705351,0.05
cg16705353,0.08
cg16705383,0.01
cg16705389,0.06
cg16705395,0.93
cg16705419,0.97
cg16705446,0.98
cg16705464,0.09
cg16705481,0.05
cg16705546,0.36
cg16705594,0.15
cg16705627,0.31
cg16705665,0.02
cg16705697,0.91
cg16705744,0.12
cg16705777,0.91
cg16705929,0.46
cg16706099,0.81
cg16706240,0.84
cg16706260,0.7
cg16706324,0.89
cg16706374,1.0
cg16706496,0.14
cg16706613,0.88
cg16706629,0.11
cg16706631,0.06
cg16706749,0.85
cg16706751,0.08
cg16707062,0.05
cg16707128,0.02
cg16707215,0.32
cg16707227,0.98
cg16707262,0.87
cg16707400,0.83
cg16707405,0.04
cg16707423,0.92
cg16707438,0.93
cg16707600,0.07
cg16707641,0.99
cg16707720,0.05
cg16707808,0.89
cg16707895,0.97
cg16707954,0.66
cg16708012,0.78
cg16708174,0.84
cg16708264,1.0
cg16708464,0.78
cg16708465,0.79
cg16708495,0.91
cg16708623,0.87
cg16708785,0.01
cg16708895,0.64
cg16708938,0.59
cg16708981,0.24
cg16709110,0.07
cg16709190,0.85
cg16709214,0.97
cg16709254,0.98
cg16709311,0.15
cg16709342,0.95
cg16709385,0.32
cg16709433,0.78
cg16709443,0.06
cg16709541,0.02
cg16709694,0.92
cg16709862,0.93
cg16709874,0.09
cg16709901,0.09
cg16709904,0.69
cg16710042,0.19
cg16710109,0.01
cg16710124,0.87
cg16710146,0.85
cg16710170,0.92
cg16710224,0.91
cg16710348,0.97
cg16710604,0.82
cg16710656,0.85
cg16710731,0.96
cg16710791,0.11
cg16710894,0.17
cg16711011,0.95
cg16711084,0.92
cg16711124,0.51
cg16711185,0.05
cg16711274,0.7
cg16711291,0.93
cg16711321,0.02
cg16711332,0.94
cg16711450,0.72
cg16711522,0.78
cg16711556,0.85
cg16711597,0.86
cg16711650,0.19
cg16711694,0.07
cg16711733,0.91
cg16711792,0.11
cg16711828,0.01
cg16711857,0.94
cg16711866,0.95
cg16712094,0.01
cg16712103,0.95
cg16712155,0.94
cg16712232,0.03
cg16712438,0.85
cg16712472,0.13
cg16712549,0.01
cg16712575,0.12
cg16712637,0.04
cg16712664,0.01
cg16712729,0.06
cg16712730,0.81
cg16712828,0.92
cg16713009,0.97
cg16713168,0.88
cg16713262,0.01
cg16713274,0.02
cg16713292,0.94
cg16713321,0.94
cg16713357,0.92
cg16713551,0.54
cg16713690,0.06
cg16713727,0.89
cg16713732,0.71
cg16713743,0.21
cg16713808,0.93
cg16713889,0.48
cg16713947,0.02
cg16714002,0.23
cg16714055,0.04
cg16714091,0.24
cg16714154,0.23
cg16714230,0.01
cg16714432,0.02
cg16714605,0.12
cg16714616,0.04
cg16714654,0.52
cg16714752,0.13
cg16715127,0.83
cg16715129,0.23
cg16715131,0.87
cg16715162,0.02
cg16715194,0.06
cg16715508,0.89
cg16715662,0.97
cg16715692,0.03
cg16715953,0.25
cg16716196,0.95
cg16716320,0.44
cg16716345,0.02
cg16716449,0.73
cg16716514,0.94
cg16716518,0.02
cg16716608,0.1
cg16716659,0.97
cg16716750,0.09
cg16716975,0.25
cg16717099,0.01
cg16717113,0.97
cg16717122,0.24
cg16717191,0.89
cg16717192,0.75
cg16717225,0.5
cg16717398,0.02
cg16717431,0.76
cg16717480,0.05
cg16717532,0.83
cg16717546,0.89
cg16717549,0.73
cg16717626,0.95
cg16717690,0.02
cg16717713,0.18
cg16717723,0.83
cg16717740,0.99
cg16717864,0.93
cg16717867,0.92
cg16717988,0.97
cg16718094,0.08
cg16718260,0.03
cg16718263,0.02
cg16718276,0.91
cg16718445,0.02
cg16718539,0.83
cg16718678,0.01
cg16718710,0.77
cg16718760,0.82
cg16718891,0.13
cg16718920,0.02
cg16718942,0.06
cg16718986,0.02
cg16718999,0.99
cg16719148,0.08
cg16719194,0.91
cg16719268,0.04
cg16719404,0.52
cg16719466,0.13
cg16719517,0.06
cg16719560,0.15
cg16719582,0.85
cg16719758,0.89
cg16719810,0.86
cg16719845,0.16
cg16720005,0.82
cg16720127,0.02
cg16720226,0.09
cg16720242,0.93
cg16720365,0.02
cg16720405,0.85
cg16720564,0.92
cg16720578,0.39
cg16720616,0.89
cg16720619,0.15
cg16720675,0.03
cg16720678,0.88
cg16720687,0.02
cg16720807,0.89
cg16720847,0.97
cg16720880,0.06
cg16720890,0.96
cg16720944,0.41
cg16720946,0.06
cg16720947,0.24
cg16721058,0.06
cg16721101,0.01
cg16721106,0.92
cg16721177,0.09
cg16721191,0.09
cg16721202,0.09
cg16721265,0.08
cg16721321,0.94
cg16721359,0.16
cg16721418,0.86
cg16721427,0.88
cg16721449,0.02
cg16721489,0.71
cg16721582,0.22
cg16722058,0.01
cg16722118,0.9
cg16722220,0.97
cg16722292,0.1
cg16722435,0.35
cg16722536,0.29
cg16722792,0.04
cg16722816,0.87
cg16722884,0.92
cg16722931,0.86
cg16722964,0.09
cg16723002,0.91
cg16723130,0.06
cg16723134,0.01
cg16723180,0.91
cg16723189,0.11
cg16723362,0.09
cg16723381,0.39
cg16723445,0.04
cg16723488,0.45
cg16723716,0.88
cg16723738,0.08
cg16723805,0.87
cg16723994,0.73
cg16724070,0.95
cg16724148,0.87
cg16724175,0.95
cg16724196,0.08
cg16724319,0.01
cg16724332,0.83
cg16724557,0.09
cg16724588,0.5
cg16724613,0.01
cg16724696,0.13
cg16724800,0.77
cg16724811,0.92
cg16725050,0.09
cg16725094,0.29
cg16725097,0.07
cg16725191,0.99
cg16725225,0.94
cg16725264,0.02
cg16725305,0.88
cg16725552,0.78
cg16725583,0.06
cg16725607,0.06
cg16725642,0.87
cg16725721,0.87
cg16725865,0.09
cg16725944,0.61
cg16725974,0.93
cg16725984,0.47
cg16726039,0.69
cg16726435,0.94
cg16726532,0.74
cg16726667,0.01
cg16726706,0.91
cg16726772,0.93
cg16726869,0.73
cg16727006,0.74
cg16727027,0.02
cg16727072,0.77
cg16727231,0.65
cg16727243,0.31
cg16727416,0.59
cg16727538,0.06
cg16727585,0.04
cg16727774,0.81
cg16727862,0.16
cg16727906,0.83
cg16727923,0.16
cg16727986,0.06
cg16728114,0.14
cg16728223,0.07
cg16728225,0.94
cg16728299,0.01
cg16728323,0.88
cg16728539,0.39
cg16728604,0.72
cg16728651,0.63
cg16728846,0.69
cg16728934,0.71
cg16729016,0.92
cg16729160,0.05
cg16729363,0.06
cg16729415,0.04
cg16729538,0.99
